İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202506-10000;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;1.7;23.6;0.237;0.0;0.0;1.288;88.1;OSMAN YILDIZ;OPR-2002;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;AL-1350;Alüminyum Alaşım;23;6805;54.44;2;695;5.56;1;1;1;1;23.6;0.2;130;21.01;61.25;89.95;11.58
WO-202506-10001;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;0.0;30.7;0.824;0.312;0.0;1.893;49.5;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;CU-ETP;Elektrolitik Bakır;29;5624;84.36;0;176;2.64;1;1;1;1;30.7;0.8;50;27.91;88.48;96.46;23.82
WO-202506-10002;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;1.7;20.3;0.792;0.0;0.0;1.128;65.7;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;AL-1350;Alüminyum Alaşım;23;4447;111.18;2;553;13.83;1;1;1;1;20.3;0.8;80;24.2;79.28;83.81;16.08
WO-202506-10003;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;0.9;21.4;0.75;0.0;0.0;0.913;76.0;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;21;4167;104.18;1;233;5.83;1;1;1;1;21.4;0.7;80;21.91;100.0;95.25;20.87
WO-202506-10004;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;0.0;14.8;0.531;0.0;0.0;0.681;31.9;İSMAİL ÖZDEMİR;OPR-2001;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;CU-ETP;Elektrolitik Bakır;14;1305;19.57;0;95;1.43;1;1;1;1;14.8;0.5;45;16.83;66.13;88.49;9.85
WO-202506-10005;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;1.0;14.6;0.559;0.0;0.584;0.289;72.9;ALİ KAYA;OPR-1005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;AL-1350;Alüminyum Alaşım;13;1264;31.6;1;136;3.4;1;1;1;1;14.6;0.6;90;9.37;89.47;93.44;7.83
WO-202506-10006;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;2.6;36.9;0.734;0.749;0.0;1.557;43.7;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;AL-1350;Alüminyum Alaşım;41;4084;61.26;3;316;4.74;1;1;1;1;36.9;0.7;50;28.67;94.55;93.35;25.3
WO-202506-10007;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;0.0;16.5;0.538;0.0;0.0;0.508;126.2;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;CU-ETP;Elektrolitik Bakır;16;3845;30.76;0;155;1.24;1;1;1;1;16.5;0.5;120;11.45;91.04;98.66;10.29
WO-202506-10008;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;1.7;50.6;1.719;0.0;0.0;2.4;19.7;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;CU-ETP;Elektrolitik Bakır;48;2834;269.23;2;166;15.77;1;1;1;1;50.6;1.7;30;44.09;56.08;89.68;22.17
WO-202506-10009;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;1.9;32.5;0.76;0.0;0.0;1.482;68.2;ALİ KAYA;OPR-1005;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;CU-ETP;Elektrolitik Bakır;31;6063;151.58;2;537;13.43;1;1;1;1;32.5;0.8;80;25.5;85.08;92.91;20.16
