İş Emri No;Operasyon Kodu;Tesis Kodu;Tesis Adı;Üretim Tarihi;Gün Adı;Hat Kodu;Hat Tanımı;Operasyon Tanımı;Fire Miktar (Bobin);Üretim Miktarı (Bobin);Setup Süresi (Saat);Bakım Duruşu (Saat);Arıza Duruşu (Saat);Plansız Duruş (Saat);Operasyon Süresi (Saat);Operasyon Hızı (m/dk);Operatör Adı Soyadı;Operatör Sicil No;Üretim Yılı;Üretim Ayı;İzolasyon Cinsi;Ürün Kodu;Ürün Açıklaması;Üretim Zorluk Derecesi;Malzeme Kodu;Malzeme Açıklaması;Kaliteli Bobin Adedi;Kaliteli Toplam Metraj;Kaliteli Toplam m²;Fire Bobin Adedi;Fire Toplam Metraj;Fire Toplam m²;Günlük İş Emri Sayısı;Parti Sayısı;Hat Başına İş Emri;Hat Günlük İş Emri;Ortalama Çekim Miktarı;Ortalama Setup Süresi (Saat);Hat Nominal Hızı (m/dk);Bakım Açıklaması;Arıza Açıklaması;Kullanım Oranı (%);Performans Oranı (%);Kalite Oranı (%);OEE Değeri (%)
WO-202506-10000;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1004;Yüksek Hızlı Extruder Hattı Delta;DIŞ KILIF SIVAMA;0.9;21.6;0.378;2.785;0.0;0.0;1.298;89.0;OSMAN YILDIZ;OPR-2002;2025;6;PVC;KBL-601;LIHCH 2x0.75 mm² Sinyal Kontrol;1;AL-1350;Alüminyum Alaşım;24;6934;55.47;1;566;4.53;1;1;1;1;21.6;0.4;130;Planlı Bakım (Pazartesi Sabah Periyodu);;33.21;59.05;92.02;18.05
WO-202506-10001;OP-350;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;0.9;27.9;0.663;2.393;0.0;0.0;1.764;52.7;MEHMET DEMİR;OPR-1002;2025;6;Halogen-Free;KBL-501;NHXMH 3x1.5 mm² Halogen-Free Bina;2;CU-ETP;Elektrolitik Bakır;28;5577;83.66;1;223;3.34;1;1;1;1;27.9;0.7;50;Planlı Bakım (Pazartesi Sabah Periyodu);;47.88;100.0;94.92;45.44
WO-202506-10002;OP-320;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;2.3;20.7;0.841;2.249;0.0;0.0;1.109;68.2;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;AL-1350;Alüminyum Alaşım;23;4536;113.4;2;464;11.6;1;1;1;1;20.7;0.8;80;Planlı Bakım (Pazartesi Sabah Periyodu);;30.59;74.22;86.4;19.62
WO-202506-10003;OP-310;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;DOLGU KAPLAMA;1.1;17.9;0.727;2.645;0.0;0.0;0.91;74.2;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;CU-ETP;Elektrolitik Bakır;21;4053;101.33;1;347;8.68;1;1;1;1;17.9;0.7;80;Planlı Bakım (Pazartesi Sabah Periyodu);;35.59;100.0;88.49;31.49
WO-202506-10004;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;0.9;14.6;1.099;2.305;2.368;0.0;0.551;38.5;İSMAİL ÖZDEMİR;OPR-2001;2025;6;XLPE;KBL-301;NYY 5x25 mm² Endüstriyel Enerji;5;CU-ETP;Elektrolitik Bakır;13;1272;19.08;1;128;1.92;1;1;1;1;14.6;1.1;45;Planlı Bakım (Pazartesi Sabah Periyodu);Anlık Arıza (Ağır Hizmet Extruder Hattı Eta - Yüksek Risk);42.85;84.08;83.17;29.96
WO-202506-10005;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2002;Standart Extruder Hattı Zeta;DOLGU KAPLAMA;1.1;13.8;1.009;2.615;0.0;0.0;0.301;68.2;ALİ KAYA;OPR-1005;2025;6;Kauçuk;KBL-901;H07RN-F 5G6 mm² Kauçuk Endüstriyel;6;AL-1350;Alüminyum Alaşım;13;1232;30.8;1;168;4.2;1;1;1;1;13.8;1.0;90;Planlı Bakım (Pazartesi Sabah Periyodu);;24.49;82.35;86.24;17.4
WO-202506-10006;OP-310;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2001;Özel Üretim Extruder Hattı Epsilon;ÇELİK ZIRH SARMAL;2.3;45.9;0.816;2.877;0.0;0.0;1.583;43.7;SÜLEYMAN KOÇ;OPR-2005;2025;6;PVC;KBL-101;NYA 2x1.5 mm² Bina İçi Tesisat;1;AL-1350;Alüminyum Alaşım;42;4149;62.23;2;251;3.76;1;1;1;1;45.9;0.8;50;Planlı Bakım (Pazartesi Sabah Periyodu);;43.16;78.44;95.21;32.24
WO-202506-10007;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1001;Mikro Extruder Hattı Alfa;İLETKEN TEL ÇEKİM;0.0;17.0;0.638;2.599;0.0;0.0;0.506;126.2;MEHMET DEMİR;OPR-1002;2025;6;PVC;KBL-602;LIHCH 4x1.0 mm² Kontrol Kumanda;2;CU-ETP;Elektrolitik Bakır;16;3829;30.63;0;171;1.37;1;1;1;1;17.0;0.6;120;Planlı Bakım (Pazartesi Sabah Periyodu);;17.8;100.0;94.71;16.86
WO-202506-10008;OP-320;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2005;Süper Ağır Hizmet Extruder Hattı Iota;DOLGU KAPLAMA;3.1;53.4;2.015;2.896;0.0;0.462;3.349;13.8;İBRAHİM ÖZTÜRK;OPR-2004;2025;6;XLPE;KBL-401;YVV 4x50 mm² Çok Ağır Sanayi;7;CU-ETP;Elektrolitik Bakır;47;2778;263.91;3;222;21.09;1;1;1;1;53.4;2.0;30;Planlı Bakım (Pazartesi Sabah Periyodu);;98.54;43.15;92.32;39.25
WO-202506-10009;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;İZOLASYON EKSTRÜZYON;1.0;27.5;0.781;2.503;0.0;0.0;1.487;69.8;ALİ KAYA;OPR-1005;2025;6;PVC;KBL-201;NYY 4x6 mm² Yeraltı Enerji;3;CU-ETP;Elektrolitik Bakır;32;6232;155.8;1;368;9.2;1;1;1;1;27.5;0.8;80;Planlı Bakım (Pazartesi Sabah Periyodu);;36.26;75.86;93.32;25.67
WO-202506-10010;OP-340;KABLO-ANK;Ankara Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-2003;Ağır Hizmet Extruder Hattı Eta;İLETKEN TEL ÇEKİM;2.6;43.9;0.793;2.547;2.939;0.0;2.621;36.9;HASAN AYDIN;OPR-2003;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;CU-ETP;Elektrolitik Bakır;39;5806;87.09;3;494;7.41;1;1;1;1;43.9;0.8;45;Planlı Bakım (Pazartesi Sabah Periyodu);Anlık Arıza (Ağır Hizmet Extruder Hattı Eta - Yüksek Risk);100.0;89.56;90.13;80.72
WO-202506-10011;OP-350;KABLO-IST;İstanbul Kablo Üretim Tesisi;02.06.2025;PAZARTESİ;XTR-1002;Standart Extruder Hattı Beta;ÇELİK ZIRH SARMAL;4.5;38.6;1.068;2.853;0.0;0.0;1.347;70.0;ALİ KAYA;OPR-1005;2025;6;Halogen-Free;KBL-502;NHXMH 5x2.5 mm² Halogen-Free Endüstriyel;4;AL-1350;Alüminyum Alaşım;38;5660;141.5;4;640;16.0;1;1;1;1;38.6;1.1;80;Planlı Bakım (Pazartesi Sabah Periyodu);;52.85;81.89;83.96;36.34
